date,snapshot_type,security,jq_quantity,alignment_status
2026-06-01,END_OF_DAY,300886.XSHE,700,JQ_POSITION
2026-06-01,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-01,END_OF_DAY,301098.XSHE,7300,JQ_POSITION
2026-06-01,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-01,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-06-01,END_OF_DAY,600493.XSHG,14000,JQ_POSITION
2026-06-01,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-01,END_OF_DAY,600697.XSHG,6400,JQ_POSITION
2026-06-01,END_OF_DAY,603879.XSHG,10900,JQ_POSITION
2026-06-02,END_OF_DAY,300405.XSHE,2900,JQ_POSITION
2026-06-02,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-06-02,END_OF_DAY,300535.XSHE,5500,JQ_POSITION
2026-06-02,END_OF_DAY,300605.XSHE,3200,JQ_POSITION
2026-06-02,END_OF_DAY,300665.XSHE,1900,JQ_POSITION
2026-06-02,END_OF_DAY,300886.XSHE,700,JQ_POSITION
2026-06-02,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-02,END_OF_DAY,301098.XSHE,7300,JQ_POSITION
2026-06-02,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-02,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-06-02,END_OF_DAY,600493.XSHG,14000,JQ_POSITION
2026-06-02,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-02,END_OF_DAY,600697.XSHG,6400,JQ_POSITION
2026-06-02,END_OF_DAY,603879.XSHG,10900,JQ_POSITION
2026-06-03,END_OF_DAY,300405.XSHE,2900,JQ_POSITION
2026-06-03,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-06-03,END_OF_DAY,300535.XSHE,5500,JQ_POSITION
2026-06-03,END_OF_DAY,300605.XSHE,3200,JQ_POSITION
2026-06-03,END_OF_DAY,300665.XSHE,1900,JQ_POSITION
2026-06-03,END_OF_DAY,300886.XSHE,700,JQ_POSITION
2026-06-03,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-03,END_OF_DAY,301098.XSHE,7300,JQ_POSITION
2026-06-03,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-03,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-06-03,END_OF_DAY,600493.XSHG,14000,JQ_POSITION
2026-06-03,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
2026-06-03,END_OF_DAY,600697.XSHG,6400,JQ_POSITION
2026-06-03,END_OF_DAY,603879.XSHG,10900,JQ_POSITION
2026-06-04,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-06-04,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-06-04,END_OF_DAY,300535.XSHE,5600,JQ_POSITION
2026-06-04,END_OF_DAY,300605.XSHE,4800,JQ_POSITION
2026-06-04,END_OF_DAY,300886.XSHE,700,JQ_POSITION
