date,event_time,security,previous_close,open,high,low,close,high_limit,low_limit,engine_rejection_reason,jq_trade_quantity,jq_trade_price,jq_trade_time
2026-06-09,14:00,300405.XSHE,5.989999771118164,6.070000171661377,6.119999885559082,5.889999866485596,5.96999979019165,7.19,4.79,limit down,0,,
2026-06-09,14:00,600561.XSHG,5.650000095367432,5.710000038146973,5.820000171661377,5.579999923706055,5.659999847412109,6.22,5.09,limit down,0,,
2026-06-09,14:00,301167.XSHE,14.34000015258789,14.399999618530273,14.640000343322754,14.119999885559082,14.289999961853027,17.21,11.47,limit down,0,,
2026-06-09,14:00,600697.XSHG,11.09000015258789,11.100000381469727,11.15999984741211,10.720000267028809,10.960000038146973,12.200000000000001,9.98,limit down,1600,11.1,09:30:00
2026-06-09,14:00,300500.XSHE,10.489999771118164,10.539999961853027,10.850000381469727,10.289999961853027,10.449999809265137,12.59,8.39,limit down,0,,
2026-06-09,14:00,600493.XSHG,6.130000114440918,6.190000057220459,6.21999979019165,6.0,6.110000133514404,6.74,5.5200000000000005,limit down,200,6.19,09:30:00
2026-06-09,14:00,300535.XSHE,15.130000114440918,15.270000457763672,15.880000114440918,15.149999618530273,15.319999694824219,18.16,12.1,limit down,0,,
2026-06-09,14:00,603879.XSHG,4.800000190734863,4.800000190734863,4.929999828338623,4.71999979019165,4.849999904632568,5.28,4.32,limit down,3600,4.8,09:30:00
2026-06-10,14:00,301098.XSHE,9.380000114440918,9.180000305175781,9.510000228881836,8.25,8.40999984741211,11.26,7.5,limit down,0,,
2026-06-10,14:00,600455.XSHG,24.799999237060547,24.639999389648438,25.0,24.280000686645508,24.700000762939453,27.28,22.32,limit down,0,,
2026-06-10,14:00,300929.XSHE,11.5,11.470000267028809,11.619999885559082,10.979999542236328,11.350000381469727,13.8,9.200000000000001,limit down,0,,
2026-06-10,14:00,300417.XSHE,12.039999961853027,11.819999694824219,12.039999961853027,11.399999618530273,11.6899995803833,14.450000000000001,9.63,limit down,0,,
2026-06-10,14:00,300405.XSHE,5.96999979019165,5.920000076293945,6.050000190734863,5.639999866485596,5.860000133514404,7.16,4.78,limit down,0,,
2026-06-10,14:00,600561.XSHG,5.659999847412109,5.650000095367432,5.769999980926514,5.510000228881836,5.670000076293945,6.23,5.09,limit down,0,,
2026-06-10,14:00,301167.XSHE,14.289999961853027,14.15999984741211,14.350000381469727,13.859999656677246,14.220000267028809,17.150000000000002,11.43,limit down,0,,
2026-06-10,14:00,600697.XSHG,10.960000038146973,10.960000038146973,11.0600004196167,10.760000228881836,10.899999618530273,12.06,9.86,limit down,0,,
2026-06-10,14:00,300500.XSHE,10.449999809265137,10.350000381469727,10.430000305175781,10.039999961853027,10.270000457763672,12.540000000000001,8.36,limit down,0,,
2026-06-10,14:00,600493.XSHG,6.110000133514404,6.059999942779541,6.150000095367432,5.880000114440918,6.079999923706055,6.72,5.5,limit down,0,,
2026-06-10,14:00,300535.XSHE,15.319999694824219,15.220000267028809,15.550000190734863,14.75,15.149999618530273,18.38,12.26,limit down,0,,
2026-06-10,14:00,603879.XSHG,4.849999904632568,4.849999904632568,4.900000095367432,4.760000228881836,4.840000152587891,5.33,4.36,limit down,0,,
