date,gross_value,net_value,cum_cost,daily_trade_value
2022-10-26,2976805.2100000014,2764572.839500001,212232.37050000002,469356.0
2022-10-27,2991414.2100000014,2779181.839500001,212232.37050000002,0.0
2022-10-28,2880796.2100000014,2668563.839500001,212232.37050000002,0.0
2022-10-31,2915468.0100000016,2702808.2115000016,212659.79850000003,142476.0
2022-11-01,2978261.0100000016,2765601.2115000016,212659.79850000003,0.0
2022-11-02,3004510.0100000016,2791850.2115000016,212659.79850000003,0.0
2022-11-03,3004981.9400000013,2791142.907500001,213839.03250000003,393078.0
2022-11-04,3032314.9400000013,2818475.907500001,213839.03250000003,0.0
2022-11-07,3071966.9400000013,2858127.907500001,213839.03250000003,0.0
2022-11-08,3083120.620000001,2868426.467500001,214694.15250000003,285040.0
2022-11-09,3083524.620000001,2868830.467500001,214694.15250000003,0.0
2022-11-10,3078409.620000001,2863715.467500001,214694.15250000003,0.0
2022-11-11,3134609.950000001,2919875.453500001,214734.49650000004,13448.0
2022-11-14,3138571.080000001,2923800.988500001,214770.09150000004,11865.0
2022-11-15,3142799.080000001,2928028.988500001,214770.09150000004,0.0
2022-11-16,3147235.1300000018,2932021.377500002,215213.75250000003,147887.0
2022-11-17,3163560.1300000018,2948346.377500002,215213.75250000003,0.0
2022-11-18,3159372.1300000018,2944158.377500002,215213.75250000003,0.0
2022-11-21,3151060.030000001,2935714.313500001,215345.71650000004,43988.0
2022-11-22,3142005.030000001,2926659.313500001,215345.71650000004,0.0
2022-11-23,3096258.030000001,2880912.313500001,215345.71650000004,0.0
2022-11-24,3125101.6500000013,2908986.040500001,216115.60950000005,256631.0
2022-11-25,3103430.6500000013,2887315.040500001,216115.60950000005,0.0
2022-11-28,3098817.6500000013,2882702.040500001,216115.60950000005,0.0
2022-11-29,3140790.7400000016,2924049.0005000015,216741.73950000005,208710.0
2022-11-30,3124918.7400000016,2908177.0005000015,216741.73950000005,0.0
2022-12-01,3153702.7400000016,2936961.0005000015,216741.73950000005,0.0
2022-12-02,3189765.0900000017,2971978.9695000015,217786.12050000005,348127.0
2022-12-05,3207919.0900000017,2990132.9695000015,217786.12050000005,0.0
2022-12-06,3189054.0900000017,2971267.9695000015,217786.12050000005,0.0
2022-12-07,3191009.7000000016,2972421.6735000014,218588.02650000004,267302.0
2022-12-08,3190134.7000000016,2971546.6735000014,218588.02650000004,0.0
2022-12-09,3256399.7000000016,3037811.6735000014,218588.02650000004,0.0
2022-12-12,3199309.100000001,2979619.185500001,219689.91450000004,367296.0
2022-12-13,3197710.100000001,2978020.185500001,219689.91450000004,0.0
2022-12-14,3214875.100000001,2995185.185500001,219689.91450000004,0.0
2022-12-15,3217292.9500000016,2996533.0945000015,220759.85550000003,356647.0
2022-12-16,3171424.9500000016,2950665.0945000015,220759.85550000003,0.0
