date,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,jq_tax,local_tax,match_status,diff_reason
2020-07-28,300736.XSHE,buy,300,300,0,9.78,9.78,0.0,2934.0,2934.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-28,600768.XSHG,buy,2500,2500,0,10.12,10.12,0.0,25300.0,25299.999999999996,-3.637978807091713e-12,5.0,5.0,0,0.0,exact_match,unknown
2020-07-28,603269.XSHG,sell,5100,5100,0,12.65,12.65,0.0,64515.0,64515.0,0.0,70.97,6.45,0,64.52,exact_match,unknown
2020-07-31,000502.XSHE,sell,100,100,0,7.2,7.2,0.0,720.0,720.0,0.0,5.72,5.0,0,0.72,exact_match,unknown
2020-07-31,000929.XSHE,sell,100,0,-100,6.93,,,693.0,0.0,-693.0,5.69,0.0,0,0.0,missing_in_local,unknown
2020-07-31,300312.XSHE,buy,5600,5600,0,4.43,4.43,0.0,24808.0,24808.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-31,300405.XSHE,sell,3900,3900,0,6.42,6.42,0.0,25038.0,25038.0,0.0,30.04,5.0,0,25.04,exact_match,unknown
2020-07-31,300535.XSHE,buy,1500,1300,-200,12.82,12.82,0.0,19230.0,16666.0,-2564.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-31,300736.XSHE,sell,500,500,0,10.51,10.51,0.0,5255.0,5255.0,0.0,10.26,5.0,0,5.25,exact_match,unknown
2020-07-31,600365.XSHG,buy,7400,7400,0,3.42,3.42,0.0,25308.0,25308.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-31,600768.XSHG,buy,4300,4600,300,10.38,10.38,0.0,44634.0,47748.0,3114.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-31,603269.XSHG,sell,2000,2000,0,13.21,13.21,0.0,26420.0,26420.0,0.0,31.42,5.0,0,26.42,exact_match,unknown
2020-08-05,000502.XSHE,buy,200,200,0,7.3,7.3,0.0,1460.0,1460.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-05,000929.XSHE,sell,300,300,0,7.26,7.26,0.0,2178.0,2178.0,0.0,7.18,5.0,0,2.18,exact_match,unknown
2020-08-05,002209.XSHE,sell,700,700,0,6.99,6.99,0.0,4893.0,4893.0,0.0,9.89,5.0,0,4.89,exact_match,unknown
2020-08-05,002473.XSHE,buy,1700,1700,0,6.73,6.73,0.0,11441.0,11441.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-05,002633.XSHE,sell,100,100,0,8.82,8.82,0.0,882.0,882.0,0.0,5.88,5.0,0,0.88,exact_match,unknown
2020-08-05,300029.XSHE,sell,500,600,100,6.9,6.9,0.0,3450.0,4140.0,690.0,8.45,5.0,0,4.14,quantity_diff,unknown
2020-08-05,300535.XSHE,buy,100,0,-100,13.11,,,1311.0,0.0,-1311.0,5.0,0.0,0,0.0,missing_in_local,unknown
2020-08-05,300736.XSHE,buy,300,300,0,10.45,10.45,0.0,3135.0,3135.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-05,600365.XSHG,buy,7800,7700,-100,3.45,3.45,0.0,26910.0,26565.0,-345.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-05,603269.XSHG,sell,2000,2000,0,13.05,13.05,0.0,26100.0,26100.0,0.0,31.1,5.0,0,26.1,exact_match,unknown
2020-08-06,300312.XSHE,sell,200,200,0,4.93,4.93,0.0,986.0,986.0,0.0,5.99,5.0,0,0.99,exact_match,unknown
2020-08-10,002473.XSHE,sell,3700,3700,0,6.75,6.75,0.0,24975.0,24975.0,0.0,29.98,5.0,0,24.98,exact_match,unknown
2020-08-10,300029.XSHE,buy,400,600,200,6.11,6.11,0.0,2444.0,3666.0,1222.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-10,600365.XSHG,buy,5800,6000,200,3.45,3.45,0.0,20010.0,20700.0,690.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-10,600768.XSHG,buy,500,400,-100,10.5,10.5,0.0,5250.0,4200.0,-1050.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-11,002209.XSHE,sell,6600,6600,0,8.95,8.95,0.0,59070.0,59069.99999999999,-7.275957614183426e-12,64.98,5.91,0,59.07,exact_match,unknown
2020-08-12,002473.XSHE,sell,300,400,100,7.27,7.27,0.0,2181.0,2908.0,727.0,7.18,5.0,0,2.91,quantity_diff,unknown
2020-08-13,000502.XSHE,sell,600,600,0,7.65,7.65,0.0,4590.0,4590.0,0.0,9.59,5.0,0,4.59,exact_match,unknown
2020-08-13,002209.XSHE,sell,1400,1500,100,7.42,7.42,0.0,10388.0,11130.0,742.0,15.39,5.0,0,11.13,quantity_diff,unknown
2020-08-13,002473.XSHE,sell,3700,3600,-100,7.22,7.22,0.0,26714.0,25992.0,-722.0,31.71,5.0,0,25.99,quantity_diff,unknown
2020-08-13,002633.XSHE,buy,300,300,0,8.69,8.69,0.0,2607.0,2607.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-13,300029.XSHE,buy,1800,1700,-100,6.19,6.19,0.0,11142.0,10523.0,-619.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-13,300478.XSHE,buy,2300,2300,0,11.19,11.19,0.0,25737.0,25737.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-13,300535.XSHE,buy,0,100,100,,13.12,,0.0,1312.0,1312.0,0.0,5.0,0,0.0,missing_in_jq,unknown
2020-08-13,300736.XSHE,buy,500,500,0,10.15,10.15,0.0,5075.0,5075.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-13,600365.XSHG,buy,9700,9600,-100,3.44,3.44,0.0,33368.0,33024.0,-344.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-13,600561.XSHG,buy,4700,4600,-100,5.26,5.26,0.0,24722.0,24196.0,-526.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-13,600768.XSHG,buy,0,100,100,,10.4,,0.0,1040.0,1040.0,0.0,5.0,0,0.0,missing_in_jq,unknown
2020-08-14,300312.XSHE,sell,1400,1400,0,6.6,6.6,0.0,9240.0,9240.0,0.0,14.24,5.0,0,9.24,exact_match,unknown
2020-08-18,000502.XSHE,buy,900,900,0,7.41,7.41,0.0,6669.0,6669.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-08-18,002209.XSHE,buy,100,200,100,7.44,7.44,0.0,744.0,1488.0,744.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-08-18,002633.XSHE,sell,500,500,0,9.22,9.22,0.0,4610.0,4610.0,0.0,9.61,5.0,0,4.61,exact_match,unknown
2020-08-18,300029.XSHE,buy,500,500,0,6.2,6.2,0.0,3100.0,3100.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
